class	RF+vehicle	RF+vehicle	RF+vehicle	RF+vehicle	RF+vehicle	RF+vehicle	RF+vehicle	RF+vehicle	RF+Cana	RF+Cana	RF+Cana	RF+Cana	RF+Cana	RF+Cana	RF+Cana	RF+Cana
Unassigned|Other|Other|Other|Other|Other	0.00375	0.003625	0.003875	0.004875	0.012	0.01	0.004875	0.002375	0.006875	0.012875	0.005	0.007125	0.00525	0.001375	0.002625	0.0015
k__Bacteria|Other|Other|Other|Other|Other	0	0	0	0	0	0	0.000125	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0	0.00025	0	0.000125	0	0	0	0.00025	0	0	0	0.000125	0	0.000125	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium	0	0	0	0	0	0.000625	0.00025	0	0.000125	0	0.000125	0	0.000125	0.000125	0	0.000125
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	0.003375	0.004125	0.004875	0.00425	0.0065	0.007625	0.006875	0.00725	0.002	0.0035	0.00125	0.00125	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	0.000125	0.00025	0.0005	0.000375	0.00025	0.000875	0	0.000125	0	0.000625	0	0	0	0.000125	0.00075	0.000375
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Adlercreutzia	0.006375	0.011625	0.009	0.015875	0.008125	0.00675	0.004375	0.009125	0.007	0.011375	0.009	0.0055	0.005375	0.003375	0.004125	0.007
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|Other|Other	0.018625	0.0135	0.022	0.018875	0.01525	0.00975	0.012375	0.023125	0.019875	0.0125	0.024625	0.01775	0.015125	0.013125	0.02475	0.020625
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	0.052	0.025875	0.032	0.028375	0.027	0.037	0.043875	0.0435	0.015875	0.017125	0.017625	0.0265	0.040125	0.0645	0.04025	0.044875
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	0.00025	0	0.000125	0.000125	0.00025	0.000125	0	0.00025	0.000375	0.000125	0.0005	0	0	0	0.000125	0.000125
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000125
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	0.007375	0.006375	0.01	0.00475	0.004	0.0075	0.006125	0.011	0.003125	0.002875	0.00425	0.004	0.006125	0.0095	0.0045	0.006
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__S24-7	0.45225	0.44975	0.4505	0.42625	0.28575	0.230125	0.335375	0.25175	0.520875	0.49025	0.439125	0.51375	0.305625	0.414625	0.211875	0.41075
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Mucispirillum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Anoxybacillus	0	0	0.000125	0	0	0	0	0	0	0	0	0	0	0	0	0
